[964, 10085143557001249]
[965, 446526729]
[966, 57499]
[967, 4649532557817485528]
[968, 19601]
[969, 13588951]
[970, 215395035859]
[971, 12479806786330]
[972, 9863382151]
[973, 903223]
[974, 488825745235215]
[975, 1249]
[976, 1766319049]
[977, 108832847723078562849]
[978, 118337]
[979, 360449]
[980, 51841]
[981, 158070671986249]
[982, 8837]
[983, 284088]
[984, 88805]
[985, 332929]
[986, 49299]
[987, 377]
[988, 14549450527]
[989, 550271588560695]
[990, 881]
[991, 379516400906811930638014896080]
[992, 63]
[993, 2647]
[994, 1135]
[995, 8835999]
[996, 8553815]
[997, 14418057673]
[998, 984076901]
[999, 102688615]
[1000, 39480499]
661
